127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.002988
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-02-18 21:38:30, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-02-18 21:38:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-02-18 21:38:31, GET, /admin/default/edit/bmenn/controllers/basics.py, HTTP/1.1, 200, 0.023672
127.0.0.1, 2021-02-18 21:38:31, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.057100
127.0.0.1, 2021-02-18 21:38:31, GET, /admin/static/_2.21.1/images/save_icon.png, HTTP/1.1, 200, 0.005250
127.0.0.1, 2021-02-18 21:38:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.131765
127.0.0.1, 2021-02-18 21:38:31, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.214087
127.0.0.1, 2021-02-18 21:38:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.209992
127.0.0.1, 2021-02-18 21:38:31, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 0.372628
127.0.0.1, 2021-02-18 21:39:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.278672
127.0.0.1, 2021-02-18 21:39:32, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.672123
127.0.0.1, 2021-02-18 21:40:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.237713
